global_step,mcc,train_loss,eval_loss,uar,f1,acc
132,0.5725994219674178,1.542899489402771,1.1699449859914326,61.577,61.798,0.6179775280898876
264,0.6525679295327136,1.2562086582183838,0.9614117883500599,68.114,69.213,0.6921348314606741
396,0.6802076248284558,0.9408244490623474,0.9333436850990567,69.979,71.835,0.7183520599250937
